,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
14-3-3,155.5,108.6,85.4,126.7,111.8,171.5,130,107.8,354.6,214.5,216.3,114.2,112.9,290.4,229.2,134.9,167.5,142.2,204.6,152.2,89.9,257.3,113.8,224.9,134.5,167
IL-15 Ra,110.9,69.7,66,94.7,110.3,68.9,94.6,100.5,63.2,75.7,66.3,61.3,60.7,70.1,64.3,51.7,118.1,72.8,89.2,72.6,53,60.3,58.7,82.1,88,74.4
PLCG1,58.8,60.3,58.6,58.4,69.3,56.1,60.8,58.1,52.3,55.3,55.3,60.8,65.9,48.8,52.8,59.5,56.9,69.5,56.4,62,56.7,46,55.4,50.2,57.2,41.9
CSH,777.2,642.2,597.2,738.6,776.6,1060.1,668.7,536.1,1352.5,913.1,1060.3,562.3,641.9,1137.3,938.6,666.5,1220.8,909.7,1230.9,813.2,539,1938.1,669.3,3522.3,707.9,985.3
PGRP-S,108.7,70.3,39.8,39.1,54.7,48.8,45.9,40.6,250.9,71.3,73.2,41.5,67.1,66.4,105.8,34.9,58.1,69,401.1,34.9,419.1,209.6,195.6,133.9,176.7,36.3
WFKN2,62,56.7,48.3,59.8,57.5,77.6,71.5,50.9,48.8,50.4,66.7,50.3,54.1,58.8,55,48.1,73.3,46.3,50.5,48.4,47,54.7,54.9,70.8,66.1,31.6
CRP,107.4,144.6,299.8,115.6,121.8,751.4,115.8,103.6,243.8,124.1,2086.6,86.9,122,253.3,233.3,183.1,256.9,8947.7,2473.9,106.3,17544,16466.2,40936.5,493.1,76.3,211.8
"Fas, soluble",164.3,476.6,183.9,1141.6,73.6,208.7,156.2,287.1,442.5,468.3,829.4,650.2,105.1,278.9,470.6,437,207.6,433.6,1178.1,117.3,1173.2,984.8,186.3,373,915.9,623.4
HDAC8,182.6,161.8,263.8,130.4,299.6,172.3,140.5,130.8,678.5,326.8,199.3,134.9,146.8,184.9,196.9,119,184.4,213.1,391.5,261.6,160.4,307.7,662.7,235,151.3,217.4
C8,196.1,106.4,99.2,107.3,203.9,176.4,142.2,107.2,100.7,146,117,112.3,104.1,97.5,125.5,90.9,226.8,93.1,147.7,129.9,79.4,101.5,84.5,141.1,98.6,126.4
Chitotriosidase-1,138.3,203.2,688.3,155.7,301.1,296.9,149.3,168.2,883.2,347.6,238.7,153.7,242.3,594.1,294.4,163.1,167.9,338.1,280.1,378.7,167.7,2815.2,344.3,375.3,163,315.6
UNC5H4,40.7,39.8,34,40.8,37.2,35.3,68.7,44,35.6,34.3,41.1,41.2,45.5,57.1,44.2,40.7,40.3,37.1,28.8,33.9,40.4,28.3,36.1,41.8,39,34.4
kallikrein 8,149.3,129.9,133.1,135.7,210.4,149.1,150.2,149.6,212,236.8,137,115.4,114.7,347,188.4,135.4,264.7,136.4,222.6,151.8,375.9,913.8,201.9,225.5,133.4,142
Apo B,58.9,53.7,70.2,52.8,39.3,47.3,43.5,146.7,55,41.3,48.4,51.2,57.4,87.2,41.9,48.4,40.9,194.1,32.2,66.3,51.1,1263.2,315.9,78.7,81.1,78.5
DLL4,66.4,57.1,46.6,63.2,92.9,58.4,92.3,61.9,52.7,98,57.7,54.8,55.5,55,85,53.9,192.6,52.4,53.1,40.1,60.6,55.7,56.9,155,59.7,40
ASGR1,93.5,112.1,171.4,159,121.2,105.5,102.7,109.6,167.4,109.4,137.1,114,100.4,101.1,92.4,114.8,97.5,136.3,138.2,122.2,104.2,154.3,250.8,135.4,121.9,185.8
BMX,54,56.7,57.4,58.2,49.9,50.5,57.8,54.7,51.2,46.6,54,55.7,58.4,52.5,52.4,64.1,52.5,51.1,43.3,58.7,55.7,40.1,48.3,45.8,56.6,47.2
PAFAH,125.9,151.1,1240.8,133.8,254.6,157.5,146.2,144,158.8,219.9,140.7,162.7,161.9,125.9,156.9,159.5,150.4,155.1,168.9,159,173.8,285.7,202.2,178.2,154.1,289.3
MMP-12,92.7,175,118.8,92.4,49.2,74.3,57.2,121.5,85.8,56.6,144.5,194.7,60.2,90.4,70.1,90.8,73.8,136.2,254.2,72.8,203.9,417.5,754.9,145.3,116.3,54.1
PLK-1,79.6,53.4,44.2,55.6,64.2,67,56.7,50.9,52.4,59.4,52.1,48,55.5,59.8,66.9,44.6,71.6,46.1,50.1,53.2,42.7,44,51,71.7,60.6,39.1
IL-2 sRg,95.5,86.8,81.9,96.3,112.5,121.9,101,81.7,92.6,97.4,84.6,86.1,91.5,84.4,99.4,96.9,108,80.6,105.5,85.7,84.4,77,77.8,95,80.8,98.5
Cathepsin H,341.4,512.2,506.3,475,56.6,278.3,58.6,202.7,306.9,75.3,384.7,947.2,308.6,291.1,58.7,382.2,49.5,577.2,733.9,316,479,691.1,755.9,133.1,365.7,381
FN1.4,1235.3,1557.1,1177.2,1639.7,199.7,653.7,386.9,2608,9246.5,900.4,480.1,1249.1,888.7,8609.1,1295.6,276.1,299.2,1104.5,6799.2,935.4,10985.5,38595.5,1185.4,2630.9,2577.1,1331
CATZ,130.8,133.7,162.7,146.6,126.6,123.2,126.7,123.5,152.9,115.3,126.5,139,149.2,159.3,118.9,150.4,121.6,139.3,135.1,124.7,148.3,252.2,194.2,131.7,128.5,218
KEAP1,145.9,138.6,150.7,172,103.8,147.8,123.6,185.1,171,106.2,147.4,142.9,151.2,154.1,123.2,175,125.1,177.8,199.1,171.8,161.2,151,137.9,143.1,217.4,199.9
GP114,55.2,52.1,52.4,52.8,66.2,72,47.6,51.4,80,65.3,60,59,60.7,53.4,45.8,43.2,57.4,67.9,104.1,60,69.5,85.8,103.3,69.7,51.4,48.8
CLF-1/CLC Complex,61.6,64.5,61.9,71.4,51.2,70.3,65.1,61.7,59.3,56.1,66.1,65.5,68.3,56.7,62.4,72.4,63.4,61.6,51.7,97.3,60.6,51.8,55.2,49.2,62.7,51.6
Moesin,107.3,125.1,124.1,58,104.9,107.3,200.1,562.1,269.1,207.6,439.9,403.2,93.7,107.7,501,135.7,137.9,1038.9,586.4,222.9,60.5,823.7,141.6,231.2,582.2,36.3
sRANKL,47.8,61.5,54.7,54.6,41.3,49.6,47.8,52.7,51.7,44.1,53.1,52.3,52.8,41.4,38.6,52.1,39.3,46.7,48.8,58.1,51.9,43.9,45,45.7,47.5,35
MEK1,40.2,50.5,47.4,46.1,40.9,44.3,39.8,46.1,41.9,39.2,40.8,45.3,51.3,38.4,40.2,49.6,35.3,42.3,30.8,47.7,42.6,30.9,42.4,34.4,43.3,28.8
STAT3,85.3,91.3,127.1,93,92.2,86.6,94.9,93,112.8,86.7,113.3,94.8,95.3,86.2,94.2,104.7,86.9,91.8,103.4,100.1,96.4,1000.9,101.3,93.3,84.5,128.3
PACAP-27,36,53.1,53.6,42.3,35.3,38.4,40.5,44.2,37.9,35.1,34.8,49.5,51.5,32.8,43.3,55.8,30.5,42.5,33.1,28.7,49.1,27.9,42.5,33,38.6,31.3
MAPK2,144.1,102.3,139.3,94.1,132,127,104.4,103.3,93.1,133,88.2,101.1,103.1,84.3,97.8,98.3,98.1,101.2,90.2,98.5,100.6,91,122.2,108.7,91.7,165.5
Ubiquitin,59812.3,47377.5,45379.6,53506.1,12795.4,37039.9,27801,92218.7,55938.5,72187,71355.1,111254,40906.2,66012.2,81198.1,94307.4,26317.4,66219,99810.3,29693.1,118701.6,79293.8,27479.8,51518.8,162420.4,59867
Peroxiredoxin-5,42.7,47.1,105.8,43.2,47.8,45.5,43.1,46.3,52.9,96,54.8,46.6,50.9,37.6,61.1,50.2,53,45.3,37.6,60.3,44.9,36,45.4,44,41.4,35.7
IFN-a/b R1,147.7,170.1,261.1,170.3,144,153.5,150,155.1,193,146.6,188.8,192.8,183.5,194.8,161.5,194.8,162.7,185.7,218.2,194.3,191.2,141.9,241.8,213.2,150.5,322.2
S100A4,331.5,363.4,420,372.9,261.6,343.2,300.6,341.6,1940.8,301.9,402.7,418.9,426.9,579.4,337.3,483.9,321.8,371.2,1016.3,367.5,669,18775.1,297.9,238.8,526.7,896.8
40S ribosomal protein SA,277.2,273.7,450.9,338.8,351.9,442.8,354.7,264.5,487.7,293.6,339.7,306.8,611.9,490.3,293.3,605.4,376.3,504.1,698.5,443.6,303.2,459.5,313.6,352.2,291.7,550.5
CD39,210.6,159,152.1,192.8,201,184.6,130.1,119.8,1310.3,249.7,377.4,149.5,141.6,537.2,223.1,110.4,162.5,174.2,1094.9,159.5,152.2,2582.2,235.4,217.6,202.7,157
TXD12,548.1,437,557.9,624.2,603.4,1266.2,661.8,454.8,1143.9,576.3,953.7,491.2,361.8,858.7,1199.6,661.3,726.5,1205.7,902.5,964.2,1082.5,1614.9,494.7,562.6,570.4,844
ERBB1,246.8,643.8,402.5,1088.3,216.7,298,187.3,459.8,681.5,495.1,831.6,981.9,149.7,338,491.4,667,283.9,589.7,1453.6,203.7,893.4,1580.2,465.9,378.1,1364.3,412.6
kallikrein 13,399.7,138,114.2,114.5,109.2,102.1,97.6,116.9,165.7,123.4,124.1,147.2,161.2,167.3,92.1,139.5,95.5,143.6,143.5,105.9,683.8,305.7,122.9,105.2,132.9,428.9
GPC6,550.1,348.2,327.6,331.8,348.4,633.5,364.7,351.1,512.9,489.4,578.5,250.5,247.3,660,663.6,333.6,608,608.4,841,438,178,1350.7,350.9,877.9,480,404.8
BSSP4,67.1,61.9,47.1,51.7,57.3,53,60.1,55.2,49.9,47.6,49.5,54.9,62,58.8,54.8,55.5,61.2,48.9,43.1,49,51.5,40.1,54.1,62.7,59.8,49.7
14-3-3E,84.6,99.5,125.2,109.6,88.3,84.8,103,94.2,124,85.6,115.5,110.9,93.7,85.2,125.1,105.7,83.8,162,185.1,91.1,96.4,2241.9,104.1,102.5,97.9,118.6
Coagulation Factor Xa,33.3,30.8,30.1,32,17.4,38.4,30.2,37.1,26.5,27.9,38.1,30.4,31.2,35.3,32.1,30.7,28.6,34.2,26.2,35.3,29.7,23.7,26.9,21.5,23.6,28.8
GV,89.1,67.8,61.7,66.6,85.2,71.7,92.9,67.6,61,86.6,69.8,58.3,62.3,81,94.8,58.4,103.4,59.2,59.9,72.6,52.6,56.4,60.3,97.7,85.3,50.7
Neurotrophin-5,52.8,42.9,34.7,38.3,43.9,39.7,53.7,43.1,38.6,38.2,38.4,43.6,43.2,37.2,43.1,43,60.4,35.4,36,39.4,38.4,30,39.3,72.6,42.6,29.4
RS7,65.4,64.5,74.6,63.9,98.4,80.4,98.2,61.7,67.3,95.6,81.2,62.8,70.7,60.8,78.3,65.1,67.5,62.6,64.4,83.8,59.9,60.9,60,66.4,58.5,88.5
Nectin-like protein 2,58.4,48.2,53.1,52.4,68.9,57.1,56.3,47.4,57.3,68.3,54.4,43.3,50.9,50.2,62,39.1,56.8,52.3,52.1,58.1,46.7,39,45.8,64.9,49.6,44.4
HIPK3,66.8,81.3,77.2,74.8,64.8,72.9,60.4,77.1,69.5,56.4,73.9,89.3,79,59.2,66.3,97,71.9,67.5,59,74.4,64.4,49,69.4,53.3,96.1,49.1
Activin AB,83.8,66.9,75.1,61.7,85.3,58.4,68.1,60.4,58.1,48.9,58.9,76.2,67.4,55.3,53.4,75.2,52.8,53.8,45.4,58.4,62.4,124.8,61.1,51.9,57,76.6
PTHrP,72.2,77.5,77.4,76.9,77.7,75.6,74.2,73.8,68.9,76.4,74.7,80,76.9,63.9,70.2,78,72.2,69.9,59.9,81.1,74.2,66.5,69.3,71.5,72.5,83.5
Livin B,60.8,46.7,36.6,43.2,42.6,47,46.8,49,37.2,39.7,52,41.1,45.1,50.5,46.9,43.5,54.6,43.6,31.4,43.9,42.1,35.6,40.3,91.5,46.7,34.4
Dtk,55.3,58.2,55,70.6,58.7,55.4,65.2,56.9,68.7,54.7,58.5,58.1,55.4,60.2,53.1,55.5,75.5,65.2,52.3,65.3,52.6,39.4,50.1,41.6,59.3,53.2
STAT1,46.7,50,66.3,48.5,69.9,45.2,44.6,52.4,49,48.1,41.1,55,59.3,63,40.5,54.4,44.3,47.4,41.3,47.4,49.2,36,63.4,41.8,48.9,33.8
TBP,117.8,117.3,89.8,104.3,88.8,111.2,101.2,109,309.5,115.8,167,110.4,117.3,222.4,118.2,127.6,127.3,115.1,166.5,112.6,102.6,151.7,99.3,113.2,109.4,170.8
"GAPDH, liver",105971.4,189091.6,147774.1,145538.3,2251.1,2096.1,9094.6,188975.9,3051,192,489.8,2039.9,9678.2,3102.8,235.7,37688.6,1772.9,1308.4,3157.7,52291.8,61129.8,21501.8,4119.8,783.5,130852.1,76911.3
FSTL3,110.4,107.5,73.7,91.7,83.2,104.8,104.7,101.4,393,106.5,168.7,104.8,110.2,263.2,104.1,138.5,123.6,107.9,204.5,57.9,125.3,280.9,88.1,113.9,99.2,148
SGTA,74.4,68.3,55,65.9,55.4,61.2,125.7,72.2,76.3,80.6,68.7,67.4,73.2,137.3,103.6,74.8,100.2,124,95.4,62.9,82.9,103.9,84.3,136,64.6,65.1
CAMK2D,170.2,86.6,88.1,126.6,160.8,100.6,114.3,128.7,88.4,123.9,84.2,83.4,82.1,91.3,97,90.7,120.1,114.1,118.9,110.8,68.9,116.3,86.3,97.4,121.1,82.3
GRN,1041.6,1253.7,1211.2,1060.7,431.6,1330.3,1075.4,1116.2,1749,3129.4,1243,3136.8,490.3,863.9,1808.4,1543.2,1330.6,752.5,1604.1,476.8,7656.9,11152.4,1975.4,1303.4,1065.3,1361.7
PolyUbiquitin K63,14135.8,12966.7,12013,11253.7,2799.9,7995.3,5238.9,16734.4,19693.6,14343.8,17978.6,15158.4,12524.7,10633,18636.5,12761.6,2284.9,19457.2,27714,3644.6,25312.6,20398.5,4789.9,8575.4,33113.5,15833.1
IL-10 Ra,208,260.7,284.8,184.6,212.6,227.9,555.8,231.5,596.7,312.3,725,273.2,148.6,374.8,191.5,273.3,451.8,423.2,359.4,458.7,177.8,497.3,224.8,696.8,280.5,286.8
HSP70 protein 8,671.6,237,433.5,441.3,444.4,1057.6,711,1180,961.8,977.7,690.6,712.2,239.5,983.2,2413,567,1026.3,1364.3,1558.1,775.8,692,4344.5,293.2,1385.5,1611.9,182.4
Tropomyosin 4,73.8,63.5,63.3,125.2,71.3,324.6,178.3,53.2,468.6,232.3,120.4,64,60.4,179.9,374.6,66.5,148.5,203.5,347.2,75.8,1022,852.4,303.8,419.5,61.2,41.6
JAG2,52.5,59.9,109.9,50.6,77,55.7,55,63.7,51.3,55.4,49.7,77.7,71.7,47.5,52.9,66.3,47.6,58.1,43.1,55.2,59.2,38.6,61,49.7,57.1,43.5
MUC1,135.5,154.5,246.3,150.6,185.1,167,160.6,144.1,180.6,158.3,189.2,171.9,157,328,131.1,160.7,174.8,187.6,178.6,177.7,159.3,163.6,230.8,192.3,147.3,257.4
TRAIL R1,95,107.2,254.6,97.5,201.5,91.5,112.4,107.7,99.6,97.2,91,109.4,136.9,80.6,98.6,109.8,98.7,92.3,90,78.9,101.4,76.8,110.8,95.2,103.4,151.7
Stress-induced-phosphoprotein 1,199.7,259,322.5,516.7,249.6,343.6,218.4,296.9,420.7,504.8,325.3,423.8,212.4,301.5,466.7,207.7,255.3,443.1,421,209.4,1806.9,476.1,232.7,330.2,364,372.2
PKC-A,171.2,122.3,107.3,368.8,128.9,122,98.1,121.7,261.3,140.2,233,363.9,95.7,1427.3,111.1,121.7,113.6,270.9,570,117.3,257.4,788.3,194.7,173,145.7,84.1
Fucosyltransferase 3,527,63.4,168.7,2594.8,287.9,1906,1150.8,219.4,3409.4,82.4,1440,158.4,68.4,4993.2,147.3,177.3,319.7,57.8,59.4,110.4,10609.3,519.3,62.8,212.7,478.4,96.7
LRP8,167.9,122.1,95.8,135.6,140.7,123.1,145.7,166.4,84.1,166.9,99.5,140.6,89.4,92.1,148.1,148.8,243.9,69.4,121.2,96.8,75.4,95.4,112.4,230.9,133.2,151.1
"Haptoglobin, Mixed Type",159.7,174.6,262.5,311.1,152.4,114.6,116,147.1,138,196.5,597,160.8,170.9,122.2,148.8,148.4,104.9,137.2,750.8,119.8,515.2,15012.2,719.2,2214.3,135.6,232.4
PCNA,63.6,46.3,42.6,49.1,61,49.9,64.9,47.4,42.4,56.2,61.4,43.1,49.7,50.6,58.2,45.5,67.8,43.4,39.6,53.4,42.3,40.6,48.1,73.3,47.5,29.4
GIIE,74.7,52,45,49.8,53.2,53.4,56.4,50.4,50.8,52,51.5,51.2,49.2,48.4,65.3,57,74.8,46.2,45.4,50.2,47,37.1,47.3,63.1,57.9,36.9
CD83,51.9,70.8,67.4,70.6,50.3,79.6,56.3,65.9,85.9,97.3,69.5,74.9,67.7,60.4,105.3,89.7,88.5,67.4,68.2,71.9,128,129.9,78,96.2,55.4,54.4
EGFRvIII,115.4,108,112,121.6,106.5,81.7,108.1,111.1,96.2,93.6,101.9,109.4,125.2,112.9,90,113.5,92.2,99.7,63.5,101.4,108.1,81.5,99.3,68.6,114.6,229
Macrophage mannose receptor,28.9,28.4,29.3,32.6,22.7,30.8,26.2,28.3,30.4,27.7,30.7,31.7,31.7,28,33.9,26.6,27.9,32.6,23.2,38.9,113.8,364.5,30.1,23.1,29.1,31.6
sFRP-3,169.5,143.9,133.1,109.1,182.1,140.4,150.8,117,104.2,141.2,105.9,115.6,143.6,130.2,109,102.2,167.9,101.8,129.3,117.9,91.4,109.1,117,151.2,127.5,169.9
MMEL2,111.8,127.7,445.7,110,226.4,120.7,113.2,111.8,184.8,165.6,124.6,132.2,158.9,151.8,127.9,112.6,147.5,173.8,187.9,127.1,159.9,164.4,253.8,132.8,113.1,171.4
MCP-4,63.7,53.8,46,64.9,66.9,61.2,59.5,60.3,54.2,64.8,51.4,49.5,56.1,59.4,65.5,50.9,86.4,53.3,60.5,50.1,53.9,47.4,50.1,70.4,56.4,46.6
Histone H2A.z,1027,1892.2,899.7,758.5,423.5,689.9,1045,921.5,217.3,318.7,319.7,574.9,636.7,87.2,184.5,503.2,477.3,343.8,196.7,852.2,114.9,63.7,870.6,300.1,1452.1,2512.2
IL-6,68.8,58.7,94.1,85.2,96.6,140.3,191.8,114.9,62.1,70.7,62,49.5,69.1,56.1,62.3,59.2,71.3,60.9,63.1,97.1,54.4,91.4,58.8,91.3,142.5,56.9
BID,117.4,139.2,113.4,126.2,124.9,125.9,134.7,120.8,165.6,131.3,130.9,126.5,147.1,139.9,128.7,145.7,126.2,138.7,123.4,149.2,131.3,118.9,140.1,124.2,126.5,211.8
SPHK2,77.2,65.7,69.3,81.5,72.2,86.2,82.1,60,69.5,62.2,67.6,59.2,66.1,59.9,64.9,48.8,74.2,61.3,71.2,69.2,61.1,67,66.7,108,64.9,65.4
Angiostatin,96.9,102,114.6,101.5,113.9,94.5,111,100.5,92.6,91.3,95.7,99.7,104.4,84.2,87.9,106.6,83.2,91.8,78.6,100.8,105.4,80.6,109.7,89.7,89.6,148
Tropomyosin 2,84.5,76.7,65.9,78,92.7,75.1,76.5,72.7,70.1,64,64.8,84.7,78.4,58.2,54.1,60.8,74.3,71.2,80.4,73.8,62.8,61.7,52.6,82.5,65,83.5
PSME1,289.4,305.3,267.8,319.3,308.1,382.8,283.3,290.7,376.5,317.5,413.2,290.6,314.9,469.3,371.2,380.8,278.7,373.8,459.9,421.1,295.2,1261.3,262.4,270.3,372.6,531.8
PAFAH beta subunit,238.8,148.2,121.9,316.9,326.7,411.5,297.1,129.6,785.7,282.5,504.3,231.5,86.2,2165,383.9,375.5,606.5,567.8,756.1,331.6,154.3,3343.6,173.1,432.1,150.3,173.6
AURKB,237.7,120.7,91,96,170.9,190.8,142.8,97.5,100.3,117.6,101.9,89.9,88.1,115.1,111,85.2,167.8,82.9,117.8,118.4,72.7,99.4,141.9,127,105.4,92.9
IgA,25951,102747.5,33418,52640.6,8976.7,41341.3,21281,136115.4,6578.6,5823.7,3510.8,173614.8,13810.6,13779,10415.4,225386.4,10929.4,10530.2,9129.7,27056.7,24639,29152.5,1609.8,2672.7,244124,25976.2
CDK5/p35,97.4,86.5,78.5,88.2,129.2,93.9,81.6,88,100.4,106,89.6,83.5,76.1,64.5,70.7,75.1,82.8,73.9,110.1,97.5,78.1,84,76.1,89.7,74.3,55.1
Carbonic anhydrase III,42.3,46.1,43,41,33.7,40.9,44.3,43.5,36.9,36.2,43.1,46,51.8,42.9,48.8,49.8,45.8,41.5,29.5,40.6,51.7,30.6,42.5,39.5,41.4,34.7
sICAM-5,92.8,63.4,117.2,84.2,84.7,215.6,61.3,53.1,70.1,67.7,65.3,57.6,60.4,56.5,94.9,71.9,69.1,165.9,69.5,103.5,53.4,36.4,49.3,75.1,60.6,49.4
CD59,132.4,170.4,130.8,154.6,103,160.5,187.9,135.8,162.6,255.3,160.3,166.4,129,193.1,354.8,149.3,128.3,266.2,328.5,125.3,245.5,1405,121.6,189.1,116.3,221.2
4-1BB,51.7,48.5,46.5,49,60.5,47.6,50.3,52.5,46.1,70.1,50.3,45.5,54.8,71.4,55.5,50.9,57.1,46.8,47.1,52.2,48.3,36.6,45.7,58.2,49.7,31.9
HCE004333,570.8,572,583.2,590.6,574.2,584,573.7,580.2,570.4,574.4,574.7,585.7,555.6,566,575.8,567.9,588.1,574.7,565.8,571.1,563.3,575.1,571.8,578.9,588.8,551
HMGN1,78.8,74.8,106.2,86.1,74.5,81.8,62.6,68.5,70.2,58.5,57.4,80.6,97.3,78.4,59.2,84.5,71.2,57,52.8,73.6,89.4,48.8,65.6,71.3,68.8,101
IL-23 R,130.9,105,146.5,105.8,148.3,225.9,111.9,107,107.6,120.1,97.7,103.2,113.2,185.5,109.1,114.7,106.1,123.2,104.8,90.5,107.9,84.6,140.5,105.9,96.8,161.1
MDC,44.9,42.8,45.5,42.9,40.4,49.6,85.3,46.5,48.9,39.2,43.9,43.4,51,42.4,40.9,50.1,39,47,35.4,52.8,45.3,38,42.7,38.4,43.2,36.9
GI24,113.3,107.1,205.3,191.8,127.7,144.2,107.2,102.5,145.5,105.1,104.8,136.2,109.7,122.5,99.8,140.3,124.7,143.2,216,137.2,178.1,560.9,128,112,152.2,136.7
MMP-8,136.4,124.9,158.7,113,135.9,128.9,100.7,108.8,138.4,129.4,154.4,120,110.9,165.3,131.8,120.5,107.5,123.6,120.9,157.9,197.4,157.2,135.3,145.5,116.1,210.2
HGF,52.6,50.6,49.5,50.4,41.6,48.4,45.1,48.3,47.5,40.1,47.5,59.9,60.2,46.4,42,57,43.8,53,47.4,50,52.2,48.5,47.1,54,51.5,76.6
HSP 90a/b,157.5,81,75.6,95.9,123,133.7,411.7,358.2,291.8,86,146.3,79,71.3,303.6,87.8,106.5,783.2,1365.7,1244.5,120.6,1505.2,5402.1,79.2,539,382.9,71.9
CRK,113.1,78.7,156.8,83.4,115.3,88.2,136,119.1,90.9,105.3,95.3,223.7,86.6,91,161,107.8,89.8,168.1,109.4,70.3,76.7,146.4,75.2,76.2,105.4,74.4
IL-22,87.8,79.4,88.8,80.9,106.3,104.9,84.6,102.5,76.1,115.9,77.8,74.5,84.7,73.3,103.4,76.1,95,76.3,68.1,99.3,75.8,62.2,83,80.9,96.9,118.2
Sphingosine kinase 1,58,38.6,34.3,41.1,28.7,37.1,52,37.6,39.5,33.6,36.1,38.3,38.8,34.8,39.1,36.4,35.3,39.1,41.5,37.1,37.1,34.4,31.3,31.4,33.7,32.2
IL-2 sRa,123,100,593.5,100.1,184.3,98.8,100,99.4,108.4,114,98.3,95.7,114.5,82,93.5,99.8,109.6,88.8,372.4,104.1,90.1,94.3,105.4,95.2,96.7,117.3
SLAF6,36.9,41.7,80.9,40.5,58,33.4,41.6,39.6,34.5,38.3,38.9,45.9,47.9,31.8,35.1,43.9,34.8,41.9,30.6,37.4,41.4,29.7,43.4,34.4,39.8,29.7
IgG,6460.5,7661.1,2537.3,21068.6,350.7,2051,2088.9,9338.9,498.9,317.5,1226.6,12272.6,686.1,177.6,186.3,2444,365.3,1676.3,398.9,615.4,264778.2,72568.1,951.6,348.6,1546.3,1100.1
TPSB2,107.3,92.5,56.1,94.4,48.3,68.1,55,63.4,135.6,118.7,125.9,75.2,67.8,96.4,150.8,72.3,58.3,76.4,179.1,72.6,61.4,167.7,239.7,185.7,89.3,39.4
DRG-1,63.4,55.2,43.2,49.7,39,49.8,146.1,62.5,118.7,45.8,87.7,79.6,61.7,55.2,116.1,68,68.6,132.9,198.5,52.7,50.8,57.1,50.4,65.4,142.8,51.6
CD97,305.6,179.2,116.9,140.3,205.2,212.5,188.7,152,158.5,182.3,186.9,108,111.8,127.6,142,95.2,245.2,121.5,185.1,182.1,107,137,130,279.4,157.1,127.3
MMP-3,65.6,61.2,54.6,51.5,58.2,61.1,60.6,56.4,51.8,54.6,53.7,58,59.6,48.4,54.1,56.3,66.9,55.6,53,49.8,58.1,41.3,62.1,54.2,52.9,64.8
UFM1,79.9,88.2,110.7,319.7,99.7,89.4,87.1,112.4,75.7,80.1,75.9,101.3,81.8,73.9,89.7,92.3,153.4,115.5,83.5,82.3,71.3,488,72.8,76.1,109.5,77.6
JAG1,58.1,62.4,85.2,64.8,60.3,53.5,51.5,56.8,46.9,44.7,48.4,95.6,66.7,39.9,44.5,70.5,43.5,54.9,41.8,45.7,88.9,45.1,61.6,44.3,65.8,46.6
TrATPase,124,112.6,105.5,113.4,138.6,113.1,108.6,101,143.6,106.9,104.8,140.9,95.1,99,99.6,98.4,112.3,133.2,148.6,109.6,112.5,126.2,117.9,117.8,111.8,126.4
GITR,119.7,141.3,156.4,144.4,90.4,135.7,116.8,129.6,492.2,120.6,141.1,214.7,138.4,143.3,131.8,611.1,118.8,180.5,138.5,177,149.1,119.8,143.7,116.1,135.6,232.4
NDP kinase B,75.9,50.7,48.7,67.4,39.3,91.3,132.8,79.5,209.3,70.5,107,65.1,51.8,118.1,151.2,57.4,84,202.1,236.1,45.3,220,3348.3,43.5,94.4,140.6,48.2
IFN-g R1,59.9,68.3,56.8,66.9,43.6,57.1,58.6,67.8,63.4,54.1,61.9,72.2,74.5,60.3,62.8,77.2,58.7,67.7,75.7,66.4,81.2,55.5,61.1,53.3,95.9,89.5
ARI3A,64,55.4,47.3,55.8,55.7,56.5,148.2,65.9,58.1,77.2,62.3,52.7,63,67.7,100.3,61.5,102.6,152.1,108.3,58.3,56.7,55.9,92.2,148.7,58.2,52.9
Survivin,77.3,69.4,57.6,61.6,88.5,69.5,69,68.8,60.4,67,55.2,72.2,76.1,51.1,57.8,73.6,62.9,62.2,67.9,52,66.4,49.7,70,62.9,63.8,73.2
FAM107B,127.5,116.3,136.7,126.7,120.6,143.7,117.1,134.9,153,174.6,89.7,107.2,109.9,104.5,107.3,201.6,100.2,82,93.7,208,123.6,124.8,96.6,83.6,115.3,153.9
EPHA3,42,47.7,39.4,45.7,28,34.9,43.7,43.5,40.5,39.3,41,47.6,53.9,34.6,47.7,52.8,48.4,39.8,27.3,36.1,46.3,30.4,41.3,33.7,41.1,35.3
CD30,95.2,74,81.2,103.5,167.6,104.9,103.3,72.3,85.6,110.3,79.2,72.5,78.7,67.8,87.5,65.1,150.1,85.6,150.9,97.1,65.7,78.2,73.1,91.8,79.9,57.2
FSH,54.2,53.7,71,52.8,69.8,53.3,55.7,56.4,50.3,57.1,56,59.7,60.9,121.5,55.1,56.7,65.9,54.4,68.6,55.6,59.6,61.1,80.6,53.9,56.3,73.2
OLR1,74.6,88.7,81.3,62,47,51.6,56.4,59.1,151.3,59.5,65.5,66.9,74.9,57.6,64.9,69.1,70.2,58,57,56.9,126.9,322.4,149.8,60.7,120,65.1
MMP-9,4508.4,4696.9,3752.8,724.7,343.8,601,129.3,561,9199.7,4370.7,3668.7,771.2,417.3,1984.8,4209,1491.5,651.1,525.9,14952.7,205.6,16635.5,76651.7,44420.4,3801.8,64848.5,212.1
